Code;Name;Continent;Region;SurfaceArea;IndepYear;Population;LifeExpectancy;GNP;GNPOld;LocalName;GovernmentForm;HeadOfState;Capital;Code2
BLR;Belarus;Europe;Eastern Europe;207600.0;1991;10236000;68.0;13714.0;;Belarus;Republic;Aljaksandr Lukaenka;3520;BY
BLZ;Belize;North America;Central America;22696.0;1981;241000;70.9;630.0;616.0;Belize;Constitutional Monarchy;Elisabeth II;185;BZ
BMU;Bermuda;North America;North America;53.0;;65000;76.9;2328.0;2190.0;Bermuda;Dependent Territory of the UK;Elisabeth II;191;BM
BOL;Bolivia;South America;South America;1098581.0;1825;8329000;63.7;8571.0;7967.0;Bolivia;Republic;Hugo Bánzer Suárez;194;BO
BRA;Brazil;South America;South America;8547403.0;1822;170115000;62.9;776739.0;804108.0;Brasil;Federal Republic;Fernando Henrique Cardoso;211;BR
BRB;Barbados;North America;Caribbean;430.0;1966;270000;73.0;2223.0;2186.0;Barbados;Constitutional Monarchy;Elisabeth II;174;BB
BRN;Brunei;Asia;Southeast Asia;5765.0;1984;328000;73.6;11705.0;12460.0;Brunei Darussalam;Monarchy (Sultanate);Haji Hassan al-Bolkiah;538;BN
BTN;Bhutan;Asia;Southern and Central Asia;47000.0;1910;2124000;52.4;372.0;383.0;Druk-Yul;Monarchy;Jigme Singye Wangchuk;192;BT
BVT;Bouvet Island;Antarctica;Antarctica;59.0;;0;;0.0;;Bouvetøya;Dependent Territory of Norway;Harald V;;BV
BWA;Botswana;Africa;Southern Africa;581730.0;1966;1622000;39.3;4834.0;4935.0;Botswana;Republic;Festus G. Mogae;204;BW
CAF;Central African Republic;Africa;Central Africa;622984.0;1960;3615000;44.0;1054.0;993.0;Centrafrique/Bê-Afrîka;Republic;Ange-Félix Patassé;1889;CF
CAN;Canada;North America;North America;9970610.0;1867;31147000;79.4;598862.0;625626.0;Canada;Constitutional Monarchy, Federation;Elisabeth II;1822;CA
CCK;Cocos (Keeling) Islands;Oceania;Australia and New Zealand;14.0;;600;;0.0;;Cocos (Keeling) Islands;Territory of Australia;Elisabeth II;2317;CC
CHE;Switzerland;Europe;Western Europe;41284.0;1499;7160400;79.6;264478.0;256092.0;Schweiz/Suisse/Svizzera/Svizra;Federation;Adolf Ogi;3248;CH
CHL;Chile;South America;South America;756626.0;1810;15211000;75.7;72949.0;75780.0;Chile;Republic;Ricardo Lagos Escobar;554;CL
CHN;China;Asia;Eastern Asia;9572900.0;-1523;1277558000;71.4;982268.0;917719.0;Zhongquo;People'sRepublic;Jiang Zemin;1891;CN
CIV;Côte dIvoire;Africa;Western Africa;322463.0;1960;14786000;45.2;11345.0;10285.0;Côte dIvoire;Republic;Laurent Gbagbo;2814;CI
CMR;Cameroon;Africa;Central Africa;475442.0;1960;15085000;54.8;9174.0;8596.0;Cameroun/Cameroon;Republic;Paul Biya;1804;CM
COD;Congo, The Democratic Republic of the;Africa;Central Africa;2344858.0;1960;51654000;48.8;6964.0;2474.0;République Démocratique du Congo;Republic;Joseph Kabila;2298;CD
COG;Congo;Africa;Central Africa;342000.0;1960;2943000;47.4;2108.0;2287.0;Congo;Republic;Denis Sassou-Nguesso;2296;CG
COK;Cook Islands;Oceania;Polynesia;236.0;;20000;71.1;100.0;;The Cook Islands;Nonmetropolitan Territory of New Zealand;Elisabeth II;583;CK
COL;Colombia;South America;South America;1138914.0;1810;42321000;70.3;102896.0;105116.0;Colombia;Republic;Andrés Pastrana Arango;2257;CO
COM;Comoros;Africa;Eastern Africa;1862.0;1975;578000;60.0;4401.0;4361.0;Komori/Comores;Republic;Azali Assoumani;2295;KM
CPV;Cape Verde;Africa;Western Africa;4033.0;1975;428000;68.9;435.0;420.0;Cabo Verde;Republic;António Mascarenhas Monteiro;1859;CV
